FPS,AVG_FPS,Flachhänger,left_x,top_y,width,height
15.5,15.6,100%,272,434,485,303
15.5,15.6,100%,271,433,485,306
15.5,15.6,99%,269,434,485,306
15.5,15.6,100%,269,433,485,306
15.5,15.6,100%,268,431,486,308
15.5,15.6,99%,269,432,486,308
15.6,15.6,99%,265,431,490,310
15.6,15.6,99%,264,433,492,309
15.6,15.6,100%,264,434,493,303
15.7,15.6,100%,264,432,491,305
15.6,15.6,100%,265,432,490,306
15.6,15.6,100%,266,434,488,303
15.5,15.6,99%,262,434,492,301
15.6,15.6,99%,261,434,493,306
15.6,15.6,99%,263,432,488,313
15.6,15.6,99%,262,433,491,309
15.6,15.6,99%,261,433,491,310
15.6,15.6,99%,259,432,496,311
15.6,15.6,99%,260,432,493,310
15.6,15.6,99%,259,432,493,308
15.7,15.6,99%,261,431,490,312
